Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2015-02-05 21:45:00,Running,,4.56,30:00,6:34,9.13,246.0,5,,,2015-02-05-2145.gpx
2015-01-30 23:47:00,Running,,9.37,1:02:10,6:38,9.04,506.0,11,,,2015-01-30-2347.gpx
2015-01-19 20:25:01,Running,,2.74,20:05,7:20,8.18,145.198942018353,48,,,2015-01-19-2025.gpx
2015-01-15 20:37:49,Running,,2.22,16:13,7:18,8.21,118.376045691877,42,,,2015-01-15-2037.gpx
2015-01-05 19:32:38,Running,,3.23,23:51,7:23,8.12,166.206652385273,71,,,2015-01-05-1932.gpx
2015-01-05 19:03:40,Running,,1.74,21:28,12:18,4.88,72.1679285790716,32,,,2015-01-05-1903.gpx
2015-01-03 20:00:00,Running,,2.41,27:48,11:33,5.20,88.0,24,,,2015-01-03-2000.gpx
2014-12-31 09:20:00,Running,,15.76,2:05:07,7:56,7.56,759.0,80,,,2014-12-31-0920.gpx
2014-12-22 09:00:00,Rowing,,8.55,3:00,0:21,170.93,31.0,2,,,2014-12-22-0900.gpx
2014-12-09 17:43:43,Running,,3.17,24:01,7:35,7.91,163.354707639836,90,,,2014-12-09-1743.gpx
2014-12-02 22:00:00,Running,,3.00,30:04,10:01,5.99,116.0,0,,,
2014-11-06 19:15:21,Running,,4.34,31:40,7:18,8.21,221.967185999073,61,,,2014-11-06-1915.gpx
2014-10-28 17:48:55,Running,,4.66,32:55,7:03,8.50,235.24922400933,62,,,2014-10-28-1748.gpx
2014-10-18 11:24:17,Downhill Skiing,,18.11,4:15:36,14:07,4.25,427.889999999994,1603,,,2014-10-18-1124.gpx
2014-10-15 18:57:31,Running,,2.88,23:26,8:09,7.36,147.061512165569,39,,,2014-10-15-1857.gpx
2014-10-09 19:19:14,Cycling,,9.48,52:29,5:32,10.83,241.262538021159,112,,,2014-10-09-1919.gpx
2014-10-06 11:48:24,Running,,4.88,47:50,9:48,6.12,233.310852594025,61,,,2014-10-06-1148.gpx
2014-10-05 12:16:40,Running,,3.59,41:47,11:38,5.16,151.0,59,,,2014-10-05-1216.gpx
2014-10-05 12:02:06,Cycling,,1.35,10:06,7:30,8.00,39.0,5,,,2014-10-05-1202.gpx
2014-09-20 09:00:00,Running,,4.72,28:31,6:03,9.93,256.0,29,,,2014-09-20-0900.gpx
